	drawz	drawp	pi2	omegacor21	tau1	tau2	num_variants	p1_code	p2_code	p1	p2	p1_category	p2_category	p1_num_cases	p2_num_cases	num_loci	omegacor21_se	attenuation
INI30170_INI30230	20.1455096508	1.47330747312e-90	0.00237373169754	0.99601207728	0.259874026235	0.255354937326	348393	INI30170	INI30230	nucleated_red_blood_cell_count	nucleated_red_blood_cell_percentage	INI	INI	327321.0	327318.0	827	0.0494408974776	0.982610463327
INI30290_INI30300	73.6318964305	0.0	0.0816242597732	0.992657182317	0.0088708372506	0.0088000693748	347008	INI30290	INI30300	high_light_scatter_reticulocyte_percentage	high_light_scatter_reticulocyte_count	INI	INI	322755.0	322755.0	28324	0.0134813474926	0.992022413014
HC158_HC346	4.03986200086	2.67413302983e-05	0.029479174858	0.992623504782	0.0116942559629	0.0036246836718	299849	HC158	HC346	spine_arthritis/spondylitis	fibromyalgia	HC	HC	3031.0	1166.0	8839	0.245707280241	0.309954193178
INI30240_INI30250	71.8449792745	0.0	0.0706699587646	0.987614494717	0.00953680800415	0.00947544492108	345592	INI30240	INI30250	reticulocyte_percentage	reticulocyte_count	INI	INI	322933.0	322934.0	24423	0.0137464650236	0.993565658127
HC158_HC302	3.79406352046	7.41008669426e-05	1.17164321221e-05	0.984006745868	0.604142180353	0.650250260228	308352	HC158	HC302	spine_arthritis/spondylitis	retinal_detachment	HC	HC	3031.0	3247.0	4	0.259354315119	1.07631991504
HC303_HC385	4.95131746136	3.68563708401e-07	0.00454693660944	0.981400996028	0.474461103197	0.0332425623729	306049	HC303	HC385	malabsorption/coeliac_disease	peripheral_vascular_disease	HC	HC	2094.0	3517.0	1392	0.198210073114	0.0700638306257
HC303_HC376	4.75953307054	9.70206657196e-07	0.00469994775737	0.981396134598	0.47824256736	0.0124523905698	306956	HC303	HC376	malabsorption/coeliac_disease	osteoarthritis	HC	HC	2094.0	29946.0	1443	0.206195885196	0.0260378130674
INI30240_INI30290	60.1731106395	0.0	0.06624102321	0.979767896313	0.0100848482586	0.0101890616968	345504	INI30240	INI30290	reticulocyte_percentage	high_light_scatter_reticulocyte_percentage	INI	INI	322933.0	322755.0	22887	0.016282487076	1.01033366447
INI30250_INI30300	61.178420227	0.0	0.0726751349697	0.979128113793	0.00945648017	0.00955107142205	345583	INI30250	INI30300	reticulocyte_count	high_light_scatter_reticulocyte_count	INI	INI	322934.0	322755.0	25115	0.0160044687352	1.01000279706
HC430_HC78	4.58252014613	2.2970271626e-06	0.0045976092429	0.979036195532	0.0938705781266	0.0279739656284	317976	HC430	HC78	rheumatoid_arthritis	arthritis_(nos)	HC	HC	5587.0	15332.0	1462	0.213645802814	0.298005681724
