phenos	drawp	drawz	total_loci	omegacor21	thetacor21	pi2	tau1	tau2	pi_se	omegacor21_se	thetacor21_se	tau1_se	tau2_se	return_code	p1_code	p2_code	p1	p2	p1_category	p2_category	p1_num_cases	p2_num_cases	nonzero_loci
HC429_INI93	0.000380919270274	3.36629982159	263280.0	0.997498869236	-0.00873214574249	0.0179189326832	0.0124581412697	0.00663106583982	0.842494674692	0.296319080921	0.0049214424524	1.5864235252	0.195196630474	0	HC429	INI93	hiv/aids	systolic_blood_pressure,_manual_reading	HC	INI	241.0	30077.0	4717.69659684
HC188_HC225	3.78890927576e-05	3.95737415927	324847.0	0.997369300548	0.837329556913	0.00367259783356	0.0438471459621	0.0387093694753	0.215999539983	0.252028052039	0.00135450964156	0.09780101406	0.0991213514369	0	HC188	HC225	cholelithiasis/gall_stones	cholecystitis	HC	HC	14940.0	12963.0	1193.03238844
HC371_INI30500	3.64898705122e-05	3.96635630183	312004.0	0.997265563735	0.0154996938605	0.000683198157482	0.0288863666839	0.00755289667465		0.251431159443	0.00174347443066	0.16323185186	0.224598294509	0	HC371	INI30500	bronchitis	microalbumin_in_urine	HC	INI	4987.0	104119.0	213.160557927
INI30170_INI30230	6.4750698398e-91	20.186178844	348393.0	0.995919614748	0.996703455743	0.00237309115641	0.256049460407	0.25156025146	0.0382647198311	0.0493367081727	0.00123205599609	0.0375670898601	0.0377272864066	0	INI30170	INI30230	nucleated_red_blood_cell_count	nucleated_red_blood_cell_percentage	INI	INI	327321.0	327318.0	826.768347255
HC290_HC357	1.94519966827e-07	5.07424383337	304553.0	0.994778579998	0.00323100469808	0.0325880116475	0.0117389745573	0.00316028442024	0.539351487452	0.196044694079	0.00259707990549	0.363376235207	1.02441506167	0	HC290	HC357	fracture_upper_arm_/_humerus_/_elbow	duodenal_ulcer	HC	HC	1749.0	3621.0	9924.77671128
INI30290_INI30300	0.0	73.6976612818	347008.0	0.992699505801	0.984701086638	0.0821596599657	0.00886441644734	0.00879351015776	0.0201347473944	0.0134698915615	0.00152893122165	0.0125075635777	0.0124981468265	0	INI30290	INI30300	high_light_scatter_reticulocyte_percentage	high_light_scatter_reticulocyte_count	INI	INI	322755.0	322755.0	28510.0592854
INI102_INI95	1.80248074588e-10	6.27023821916	326107.0	0.989004621341	0.124440399641	0.172838007888	0.00371958322164	0.00444613008586	0.0310741443626	0.157729991552	0.00221750614337	0.018275587833	0.0317020463971	0	INI102	INI95	pulse_rate,_automated_reading	pulse_rate_(during_blood-pressure_measurement)	INI	INI	318344.0	30077.0	56363.6842384
INI30240_INI30250	0.0	71.7803126594	345592.0	0.987613228545	0.975674902676	0.070379599252	0.00955263981616	0.00949096802444	0.0204589186745	0.013758831523	0.00150987946167	0.012799104805	0.0127543791542	0	INI30240	INI30250	reticulocyte_percentage	reticulocyte_count	INI	INI	322933.0	322934.0	24322.6264647
INI30040_INI30050	0.0	59.2127006712	345777.0	0.986354681225	0.848871811773	0.0582664469781	0.0140266895972	0.0153283701253	0.0187156096729	0.0166578229002	0.00141129387195	0.0117631280616	0.0116494396014	0	INI30040	INI30050	mean_corpuscular_volume	mean_corpuscular_haemoglobin	INI	INI	328031.0	328028.0	20147.1972368
HC148_HC317	0.00111870615279	3.05676283023	136589.0	0.985424943509	0.00298334145522	0.160827156067	0.115630402888	0.0251645143618	0.090741821407	0.322375335687	0.00501573712576	0.059714471371	0.11039422548	0	HC148	HC317	wolff_parkinson_white_/_wpw_syndrome	breast_fibroadenoma	HC	HC	56.0	365.0	21967.22042
HC38_HC418	0.000469985756374	3.30790362467	313468.0	0.985169461891	0.0178033195293	0.00344017423527	0.320998020799	0.026206250404	0.0479740126428	0.297822903468	0.00176233455245	0.0308215984331	0.0764405451267	0	HC38	HC418	psoriasis	cervical_spondylosis	HC	HC	5074.0	4317.0	1078.38453718
HC125_HC385	0.00115695757178	3.04667010064	313214.0	0.982209792533	0.0746857678044	0.00485949320548	0.0282488512767	0.0456738420122	0.151823661197	0.322387971158	0.00181550555064	0.0733158946918	0.0710843955928	0	HC125	HC385	anaemia	peripheral_vascular_disease	HC	HC	15944.0	3517.0	1522.06130486
HC303_HC385	2.82040240172e-07	5.00312599016	306049.0	0.980963557735	0.011683737115	0.00455587568972	0.474360290572	0.0331872372537	0.0406051515348	0.196070128888	0.00179102265861	0.0262268359182	0.0455207548444	0	HC303	HC385	malabsorption/coeliac_disease	peripheral_vascular_disease	HC	HC	2094.0	3517.0	1394.32119896
HC158_HC85	0.000233555718744	3.49894013912	310949.0	0.980648675046	0.0116113908261	0.0231113750829	0.0141821393974	0.00157029650612	0.435555208874	0.280270206421	0.00190350252652	0.241884165131	0.802489321598	0	HC158	HC85	spine_arthritis/spondylitis	enlarged_prostate	HC	HC	3031.0	5078.0	7186.45897066
INI30240_INI30290	0.0	60.1829232694	345504.0	0.979738713837	0.905605465937	0.0662547871277	0.0100795543103	0.010183661133	0.0225665513734	0.0162793473732	0.00144439575222	0.0137891758522	0.013768205677	0	INI30240	INI30290	reticulocyte_percentage	high_light_scatter_reticulocyte_percentage	INI	INI	322933.0	322755.0	22891.2939718
INI30250_INI30300	0.0	61.0949844411	345583.0	0.979335584876	0.904693974366	0.0725441935247	0.00948643954975	0.00958039085473	0.0222127923585	0.0160297214875	0.00146151518771	0.01349002284	0.0135184004677	0	INI30250	INI30300	reticulocyte_count	high_light_scatter_reticulocyte_count	INI	INI	322934.0	322755.0	25070.0400308
HC148_HC150	0.000548606583609	3.26433508562	136608.0	0.978802098935	-0.0382699306891	0.188515993661	0.102259177729	0.0137099064564	0.105225550648	0.2998473114	0.00555876777449	0.0695693182161	0.114987690837	0	HC148	HC150	wolff_parkinson_white_/_wpw_syndrome	rosacea	HC	HC	56.0	880.0	25752.7928621
INI30020_INI30030	0.0	54.2570387823	347068.0	0.977699143666	0.918306602372	0.0527717431956	0.00833310975537	0.0074107407102	0.0252428740701	0.0180197660176	0.00141064702805	0.0147457505166	0.0150587400555	0	INI30020	INI30030	haemoglobin_concentration	haematocrit_percentage	INI	INI	328031.0	328032.0	18315.3833674
INI30240_INI30300	0.0	60.5047624062	345504.0	0.977689601235	0.897237382764	0.0697039388576	0.00978866823373	0.00979916915872	0.0222952427615	0.0161588867116	0.00145965357701	0.0136315245708	0.0135808277669	0	INI30240	INI30300	reticulocyte_percentage	high_light_scatter_reticulocyte_count	INI	INI	322933.0	322755.0	24082.9896911
HC414_INI30230	1.79932804553e-05	4.13184337332	297535.0	0.977165256735	-0.00137850127349	8.72626528259e-06	0.312544953794	0.0234091549294	1.01637602486	0.236496199987	0.00181946921207		0.672615893771	0	HC414	INI30230	cardiomyopathy	nucleated_red_blood_cell_percentage	HC	INI	1309.0	327318.0	2.59636934085
HC414_INI30170	7.04034015779e-08	5.26419256853	297514.0	0.97715129756	-0.00114912059742	8.51564071336e-06	0.312786877672	0.0232978025963	1.00373730414	0.185622255425	0.00182005415996		0.627748502167	0	HC414	INI30170	cardiomyopathy	nucleated_red_blood_cell_count	HC	INI	1309.0	327321.0	2.53352233119
HC148_HC355	0.000584761921963	3.2462103653	136608.0	0.976762097965	-0.0313943864709	0.171769234511	0.109684569666	0.0132058435103	0.0998226668873	0.300893037742	0.00539604080756	0.0658646749854	0.124794217069	0	HC148	HC355	wolff_parkinson_white_/_wpw_syndrome	rectal_prolapse	HC	HC	56.0	965.0	23465.051588
HC430_HC78	5.67990275603e-07	4.86648932721	317976.0	0.976598053079	0.390292196835	0.00464899865181	0.0933829608863	0.0278986846547	0.0940996679154	0.200678145459	0.0016349352564	0.0521445413873	0.0570109640608	0	HC430	HC78	rheumatoid_arthritis	arthritis_(nos)	HC	HC	5587.0	15332.0	1478.26999531
HC166_HC203	1.72430215619e-05	4.14162062024	315875.0	0.97633224112	0.196623588965	0.000437902904388	0.1546230631	0.142609359606	0.207047571126	0.235736763611	0.00172170196028	0.125782096526	0.122239820386	0	HC166	HC203	deep_venous_thrombosis_(dvt)	pulmonary_embolism_+/-_dvt	HC	HC	6929.0	4968.0	138.322579923
FH1019_HC129	2.21989473373e-06	4.58965512424	310710.0	0.976132967301	0.0081033808511	0.174384187176	0.00112340523184	0.00153866307411	0.416450811109	0.212681114567	0.00278073069983	0.307672918929	0.566840754374	0	FH1019	HC129	bowel_cancer	muscle_or_soft_tissue_injuries	FH	HC	74244.0	2822.0	54182.9107975
